Dataset Name,Algorithm Name,Cross Validation[1-10],AUC
audiology-std,XBART,1,0.6415716374269006
audiology-std,Adaboost,2,0.8928524762426899
audiology-std,LightGBM,2,0.9652777777777778
audiology-std,Provably Robust Boosting,2,0.962382194379945
audiology-std,XBART,2,0.7176960246818026
audiology-std,Adaboost,3,0.9597048611111112
audiology-std,LightGBM,3,0.912624269005848
audiology-std,Provably Robust Boosting,3,0.9486476608187135
audiology-std,XBART,3,0.6977878289473685
audiology-std,Adaboost,4,0.8379166666666666
audiology-std,LightGBM,4,0.9288888888888888
audiology-std,Provably Robust Boosting,4,0.9121966374269006
audiology-std,XBART,4,0.7993142361111112
audiology-std,Adaboost,5,0.9841579861111112
audiology-std,LightGBM,5,1.0
audiology-std,Provably Robust Boosting,5,0.9798976608187134
audiology-std,XBART,5,0.7060521747076024
audiology-std,Adaboost,6,0.8851919934640522
audiology-std,LightGBM,6,0.9756944444444444
audiology-std,Provably Robust Boosting,6,0.9406658496732028
audiology-std,XBART,6,0.6582924836601307
audiology-std,Adaboost,7,0.9491771708683474
audiology-std,LightGBM,7,0.9963235294117648
audiology-std,Provably Robust Boosting,7,0.9347397292250232
audiology-std,XBART,7,0.6479691876750701
audiology-std,Adaboost,8,0.9477124183006536
audiology-std,LightGBM,8,0.93125
audiology-std,Provably Robust Boosting,8,0.9640522875816993
audiology-std,XBART,8,0.6996907096171803
audiology-std,Adaboost,9,0.9459150326797384
audiology-std,LightGBM,9,0.9187324929971992
audiology-std,Provably Robust Boosting,9,0.9466911764705884
audiology-std,XBART,9,0.7308006535947713
autos,Adaboost,0,0.8939133548156104
autos,LightGBM,0,0.9146588693957116
autos,Provably Robust Boosting,0,0.7071297290846162
autos,XBART,0,0.8279365079365079
autos,Adaboost,1,0.7370258980785297
autos,LightGBM,1,0.9437037037037036
autos,Provably Robust Boosting,1,0.8075927915025659
autos,XBART,1,0.8759271193857661
autos,Adaboost,2,0.8007614273779687
autos,LightGBM,2,0.9180172653856864
autos,Provably Robust Boosting,2,0.7285849544496161
autos,XBART,2,0.8936205593348451
autos,Adaboost,3,0.8437037037037036
autos,LightGBM,3,1.0
autos,Provably Robust Boosting,3,0.7703703703703705
autos,XBART,3,0.8911111111111112
autos,Adaboost,4,0.8901960784313726
autos,LightGBM,4,0.9902777777777778
autos,Provably Robust Boosting,4,0.6939133986928103
autos,XBART,4,0.7219117647058824
autos,Adaboost,5,0.8795021008403362
autos,LightGBM,5,0.8777440476190476
autos,Provably Robust Boosting,5,0.7768380018674137
autos,XBART,5,0.6162379785247432
autos,Adaboost,6,0.8546076276664513
autos,LightGBM,6,0.8855225166989873
autos,Provably Robust Boosting,6,0.6798629605688429
autos,XBART,6,0.7458791927027221
autos,Adaboost,7,0.7683260791496085
autos,LightGBM,7,0.9427416505063564
autos,Provably Robust Boosting,7,0.8172316311139841
autos,XBART,7,0.7326635064282123
autos,Adaboost,8,0.7577137829490771
autos,LightGBM,8,0.8800044530632766
autos,Provably Robust Boosting,8,0.7047629102923221
autos,XBART,8,0.6349449112978525
autos,Adaboost,9,0.8823879910938734
autos,LightGBM,9,0.9202686202686202
autos,Provably Robust Boosting,9,0.7439650219061984
autos,XBART,9,0.8045179918121095
balance-scale,Adaboost,0,0.7759296822177145
balance-scale,LightGBM,0,0.9045977011494252
balance-scale,Provably Robust Boosting,0,0.7531440162271806
balance-scale,XBART,0,0.9215010141987829
balance-scale,Adaboost,1,0.7530764029749831
balance-scale,LightGBM,1,0.9533468559837728
balance-scale,Provably Robust Boosting,1,0.711291413116971
balance-scale,XBART,1,0.9500338066260988
balance-scale,Adaboost,2,0.8547667342799188
balance-scale,LightGBM,2,0.9352265043948614
balance-scale,Provably Robust Boosting,2,0.8195402298850576
balance-scale,XBART,2,0.9467883705206221
balance-scale,Adaboost,3,0.9328600405679512
balance-scale,LightGBM,3,0.9298174442190672
